Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,Classification
1/2/2018,2018,1,2,Tuesday,0,2018-00,99.3,99.79,98.52,98.59,10150500,93.57,-0.00162029,98.25571429,94.3734,GREEN
1/3/2018,2018,1,3,Wednesday,0,2018-00,98.85,100,98.77,99.45,8903600,94.38,0.008723001,98.45214286,94.6136,GREEN
1/4/2018,2018,1,4,Thursday,0,2018-00,99.54,99.78,98.91,99.54,6830400,94.47,0.000905017,98.57928571,94.8314,GREEN
1/5/2018,2018,1,5,Friday,0,2018-00,99.64,100.38,99.61,100.13,7284000,95.03,0.005927229,98.79357143,95.0744,GREEN
1/8/2018,2018,1,8,Monday,1,2018-01,100.25,101.75,100.21,101.61,8843900,96.43,0.014780819,99.115,95.337,RED
1/9/2018,2018,1,9,Tuesday,1,2018-01,102.03,102.35,100.31,100.39,7312700,95.27,-0.012006704,99.29285714,95.5724,RED
1/10/2018,2018,1,10,Wednesday,1,2018-01,99.75,99.89,98.53,99.67,7930400,94.59,-0.007172041,99.355,95.8024,RED
1/11/2018,2018,1,11,Thursday,1,2018-01,99.7,100.45,98.78,100.02,6537700,94.92,0.003511573,99.44571429,96.0638,RED
1/12/2018,2018,1,12,Friday,1,2018-01,100.39,101.44,100.3,100.87,6951200,95.73,0.008498362,99.64642857,96.335,RED
1/16/2018,2018,1,16,Tuesday,2,2018-02,101.34,101.91,100.34,100.69,7170700,95.56,-0.001784478,99.82357143,96.59,GREEN
1/17/2018,2018,1,17,Wednesday,2,2018-02,101.15,102.94,100.7,102.7,8681900,97.47,0.019962205,100.0764286,96.868,GREEN
1/18/2018,2018,1,18,Thursday,2,2018-02,104.74,104.94,103.62,104.3,12307900,98.98,0.015579417,100.4364286,97.1604,GREEN
1/19/2018,2018,1,19,Friday,2,2018-02,104.64,104.93,103.66,104.59,8378600,99.26,0.002780377,100.8071429,97.4782,GREEN
1/22/2018,2018,1,22,Monday,3,2018-03,104.5,105.45,104.04,105.45,7308300,100.08,0.00822259,101.2857143,97.8082,GREEN
1/23/2018,2018,1,23,Tuesday,3,2018-03,105.29,106.15,104.57,105.9,8287800,100.5,0.004267469,101.8078571,98.121,GREEN
1/24/2018,2018,1,24,Wednesday,3,2018-03,106.35,106.44,104.82,105.79,6823100,100.4,-0.001038722,102.2607143,98.4308,GREEN
1/25/2018,2018,1,25,Thursday,3,2018-03,105.85,106.81,105.85,106.6,5857100,101.17,0.007656655,102.765,98.7444,GREEN
1/26/2018,2018,1,26,Friday,3,2018-03,107,108.41,106.68,108.39,6786300,102.87,0.016791754,103.355,99.0924,GREEN
